0,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,History,Psychology,Politics,Mathematics,Physics
1,5,3,2,1,2,2,1,5,5,1,1,1,1,1,3,1,1,1,1,5,4,2,5,4,4,1,5,5,3,1,2,1,5,1,3,3
2,4,4,2,1,1,1,2,3,5,4,4,1,3,1,4,4,2,1,1,5,2,2,4,3,4,1,3,5,4,1,4,1,3,4,5,2
3,5,5,2,2,3,4,5,3,5,3,4,1,4,3,5,5,5,1,3,5,3,4,4,2,4,2,5,5,2,2,1,1,2,1,5,2
4,5,3,2,1,1,1,1,2,2,1,4,2,2,1,2,5,1,2,1,5,4,4,3,3,4,3,1,2,5,1,2,4,4,5,4,1
5,5,3,4,3,2,4,3,5,3,1,2,5,3,2,1,2,4,2,2,5,4,4,5,2,3,3,4,4,3,1,4,3,2,3,2,2
6,5,3,2,3,2,3,3,2,5,5,3,4,3,4,4,5,3,1,3,5,5,5,5,2,3,3,4,3,3,2,4,5,3,4,2,3
7,5,5,5,3,1,2,2,5,3,1,1,3,1,1,2,3,3,5,2,4,2,1,5,3,1,3,5,5,3,1,2,3,3,1,1,1
8,5,3,3,2,1,2,2,4,5,1,2,3,2,2,3,1,2,3,2,5,4,4,5,2,3,3,4,4,3,1,3,5,2,3,1,1
9,5,3,3,1,1,2,4,3,5,5,1,1,2,2,2,,1,1,1,5,1,5,5,4,4,5,4,4,5,1,1,3,2,1,1,1
10,5,3,2,5,2,2,5,3,5,2,3,2,4,4,4,4,5,1,2,5,2,1,5,5,1,3,4,4,4,1,2,3,2,3,3,1
11,5,3,3,2,1,2,3,4,3,2,1,3,2,2,3,3,3,4,2,5,5,4,5,3,3,2,5,5,3,1,3,3,3,3,2,1
12,5,3,1,1,1,4,1,2,5,1,1,1,1,2,2,5,2,1,2,5,3,4,4,3,2,5,5,5,5,1,4,2,2,5,1,1
13,5,3,1,2,1,4,3,3,5,4,2,3,1,1,4,3,2,1,2,5,1,5,4,3,1,4,5,3,3,1,1,4,4,4,1,1
14,5,3,5,3,2,1,5,5,2,1,1,2,1,3,2,1,3,1,1,5,3,2,5,5,2,1,5,4,2,1,3,2,2,1,1,1
15,5,3,2,1,1,2,3,4,5,2,5,3,4,4,4,4,1,1,1,4,1,3,5,4,1,1,5,5,3,1,4,2,5,1,1,1
16,1,3,2,2,3,4,3,3,5,5,5,2,4,2,3,3,2,1,2,5,5,5,5,3,3,5,4,4,5,2,4,5,5,3,3,3
17,5,3,3,1,1,1,2,4,4,1,3,2,3,2,3,1,1,4,1,5,3,3,5,3,2,2,2,2,4,1,2,1,1,1,1,1
18,5,3,3,3,3,2,2,4,4,2,3,3,4,3,3,1,2,1,3,5,4,2,5,5,5,2,4,4,5,1,3,3,2,2,1,3
19,5,3,5,4,3,4,5,5,4,4,3,4,4,4,4,4,4,4,3,5,2,4,5,4,5,5,4,4,5,5,5,3,5,3,5,5
20,5,4,3,3,2,4,2,2,4,5,2,1,4,5,4,3,4,3,2,3,1,4,4,2,3,5,4,4,5,2,5,2,3,3,3,2
21,5,3,3,2,3,4,3,2,5,5,4,4,3,5,4,5,3,3,4,5,5,5,5,3,3,4,3,3,3,2,4,5,3,4,2,3
22,5,5,1,1,3,2,2,2,5,5,4,1,2,1,4,3,2,1,2,5,5,5,5,2,5,3,3,4,5,2,5,4,4,4,3,1
23,5,3,3,2,3,3,3,4,,1,2,2,1,1,3,2,3,3,2,5,2,3,5,4,4,2,4,5,5,3,3,3,4,2,1,1
24,5,3,4,2,2,2,4,4,5,2,3,3,3,3,3,1,4,1,1,5,2,4,5,5,4,3,5,5,3,2,2,2,2,3,2,3
25,5,2,3,1,1,4,3,3,5,5,5,1,1,1,2,3,2,3,4,5,4,2,5,5,2,2,2,2,3,1,4,4,5,5,2,1
26,5,3,4,2,1,2,3,5,1,1,1,3,1,2,1,1,4,2,1,5,1,2,5,5,1,1,4,3,3,1,1,2,2,1,3,1
27,5,5,5,5,4,5,3,4,4,3,2,2,1,3,5,3,5,2,2,5,3,2,5,4,2,5,5,5,5,2,1,3,3,1,2,3
28,4,5,3,4,1,3,2,2,4,2,4,2,4,2,3,4,3,4,2,5,2,4,3,4,5,3,2,4,5,2,5,2,2,3,1,3
29,5,3,5,1,1,1,1,3,4,1,3,5,2,1,4,3,2,3,1,5,3,3,5,3,1,5,4,4,3,4,4,5,1,1,1,2
30,5,4,3,4,2,3,3,3,4,1,3,3,4,3,4,3,4,3,2,5,3,2,5,5,2,4,5,5,4,2,2,5,4,2,2,2
31,4,3,4,3,3,3,3,4,4,2,2,4,3,4,3,3,3,3,3,5,2,5,4,3,4,4,3,3,4,3,5,2,3,3,1,1
32,4,3,4,1,3,2,3,5,3,1,1,3,3,2,1,1,5,1,2,4,1,1,5,5,2,2,5,5,4,1,1,4,4,2,2,2
33,5,5,3,1,3,2,3,3,4,3,4,4,2,2,4,4,2,3,1,5,5,5,5,5,2,3,5,5,3,2,4,4,5,3,1,1
34,5,4,2,2,3,4,5,4,3,1,1,1,3,4,4,3,2,1,5,4,3,4,4,3,1,3,5,4,5,2,3,5,3,5,2,1
35,5,4,3,2,1,3,4,4,5,3,4,2,3,3,4,4,2,1,1,5,2,3,5,4,4,2,2,5,3,1,5,4,5,4,3,1
36,5,3,3,3,1,4,5,5,3,1,1,4,3,1,3,3,5,1,1,5,1,2,5,5,3,4,1,1,1,1,5,1,1,1,1,1
37,5,3,1,3,2,3,4,4,4,1,1,1,1,1,1,1,1,1,4,5,3,5,4,4,4,4,5,5,3,1,5,4,5,3,3,3
38,5,5,1,1,1,5,1,2,3,5,2,1,2,2,2,1,1,1,1,4,3,2,5,2,3,4,2,2,4,3,4,3,3,5,3,3
39,5,5,5,3,1,5,2,5,4,1,2,4,5,2,2,1,3,4,4,5,1,4,5,5,3,3,5,5,5,2,5,3,4,4,3,2
40,5,3,3,3,2,2,3,5,5,4,4,1,2,1,5,2,1,2,2,4,5,5,5,5,3,4,5,5,4,2,3,4,1,1,1,1
41,4,3,4,1,1,1,1,5,1,1,1,3,2,1,1,1,2,3,1,5,1,5,5,3,2,1,2,2,4,1,5,2,1,1,2,1
42,5,4,5,5,5,5,1,1,4,5,1,5,5,5,5,5,5,5,1,3,1,5,5,1,5,5,1,1,5,5,5,5,4,5,5,5
43,5,5,2,2,2,3,4,5,5,4,4,3,3,3,3,4,3,3,1,5,4,4,5,5,5,3,5,5,4,3,5,2,5,1,5,1
44,5,4,3,1,1,2,2,5,4,1,2,3,2,2,2,4,3,3,1,5,1,1,5,4,3,2,5,5,3,1,4,2,4,2,1,1
45,4,4,4,2,1,3,3,4,4,1,1,3,1,3,3,4,5,4,3,5,3,4,5,4,3,1,5,4,4,1,3,4,5,5,3,4
46,5,4,5,2,2,4,3,5,4,1,2,3,3,3,5,1,4,3,4,5,5,4,5,2,4,1,2,1,5,2,2,5,5,5,5,5
47,5,3,4,3,4,1,5,5,5,3,2,5,2,3,5,4,5,2,2,5,5,5,5,3,5,1,3,2,1,1,5,4,3,1,2,2
48,5,3,3,1,1,2,3,4,4,2,2,1,3,3,,4,3,2,3,5,3,3,4,2,2,3,3,5,2,1,5,2,3,1,2,1
49,5,4,3,1,1,1,4,3,2,1,2,5,5,2,2,2,4,2,1,3,2,2,3,2,2,1,2,2,3,1,2,2,4,3,2,2
50,5,4,2,1,2,2,2,3,5,3,5,3,2,2,4,2,1,2,1,5,3,4,5,3,3,3,5,3,1,1,4,2,2,2,1,1
51,4,3,2,4,2,5,5,5,5,2,4,4,4,3,4,4,5,1,2,5,1,5,5,4,2,4,4,4,4,1,5,3,4,1,4,1
52,5,3,3,3,1,4,3,5,4,3,2,2,4,4,4,3,5,3,2,5,2,4,5,5,4,3,5,5,4,3,5,2,4,4,5,5
53,5,3,5,5,5,5,5,5,5,4,2,5,5,5,5,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,2
54,5,3,4,4,3,4,5,4,3,2,2,3,3,3,3,3,5,2,5,5,3,3,5,5,1,5,5,3,3,1,5,3,3,4,1,1
55,5,3,5,5,3,5,5,5,5,4,3,3,3,4,4,3,5,4,5,5,5,5,5,5,5,3,5,5,5,2,5,5,3,4,1,4
56,5,3,4,2,2,4,3,4,3,3,2,4,3,3,4,4,4,5,3,5,2,4,3,3,2,3,4,4,3,2,3,4,5,2,2,3
57,5,3,1,2,3,4,3,4,5,1,4,2,3,4,5,5,1,1,4,5,4,2,5,5,3,2,4,4,3,3,3,3,4,4,4,3
58,5,3,3,3,2,3,2,2,5,2,2,2,2,4,5,5,1,1,2,5,4,4,5,3,5,3,5,5,5,2,4,5,5,2,1,1
59,5,5,5,3,2,3,2,5,1,1,1,2,2,1,2,2,3,3,1,5,2,4,5,1,3,2,3,3,5,1,4,3,3,1,3,2
60,5,4,2,1,2,3,1,3,4,3,5,3,3,4,5,5,1,4,3,5,5,3,3,3,4,3,3,2,3,1,3,4,4,5,1,1
61,5,2,2,2,2,4,4,4,4,1,3,2,3,3,4,4,2,1,3,5,1,4,4,4,4,5,3,2,4,3,4,4,5,4,4,4
62,5,3,5,1,2,4,3,4,4,1,2,3,2,3,3,3,4,4,3,5,3,4,5,5,5,3,4,4,2,2,4,3,3,3,3,4
63,5,3,5,4,5,4,4,5,4,5,4,5,4,5,5,5,4,5,5,5,4,5,5,1,5,5,5,5,5,1,5,5,4,4,4,5
64,5,4,,1,3,2,1,2,3,1,,5,4,3,3,1,3,5,1,5,4,5,3,2,4,5,3,3,4,3,4,4,2,3,,2
65,5,3,3,1,1,1,4,4,5,1,3,2,1,2,2,1,3,2,2,5,2,1,5,5,1,3,5,5,2,1,2,1,2,2,1,3
66,4,3,3,1,2,2,1,3,3,3,2,4,2,2,2,1,2,4,2,5,5,5,5,3,5,5,4,4,3,2,5,5,2,3,2,1
67,4,3,4,2,2,2,4,5,3,4,3,3,3,3,2,2,4,5,1,4,3,4,5,3,5,5,5,5,4,3,3,3,2,2,5,5
68,3,4,4,3,2,2,4,5,1,1,1,4,3,4,4,1,5,1,1,5,3,3,5,5,1,2,4,1,2,1,3,2,3,3,4,2
69,5,5,3,2,1,2,4,3,5,5,5,1,5,4,4,3,2,4,2,5,1,2,5,4,4,2,5,5,2,1,3,2,2,3,5,2
70,5,4,1,1,1,1,4,5,4,1,1,1,1,1,2,1,4,1,2,5,1,1,5,5,1,1,3,5,1,1,1,2,2,2,1,1
71,5,3,5,2,2,2,3,5,3,1,1,5,2,3,1,1,2,3,1,5,1,3,5,3,3,3,2,3,2,1,1,2,1,3,1,1
72,4,3,2,3,1,4,1,4,1,1,1,4,4,1,2,3,1,3,1,4,2,3,5,3,1,3,3,4,3,1,5,5,1,5,2,1
73,5,3,2,2,2,2,5,5,5,2,4,4,2,2,3,3,5,1,1,5,4,5,5,5,3,3,5,5,4,2,5,3,2,1,1,1
74,5,3,3,2,2,2,1,5,2,1,2,5,2,2,2,2,4,3,1,5,4,4,5,4,3,5,5,5,3,3,5,4,3,4,1,1
75,5,3,2,1,4,5,3,2,1,1,1,5,4,1,1,1,1,2,4,5,1,1,5,1,4,5,3,1,4,5,5,4,3,5,1,1
76,5,3,3,4,4,3,1,1,5,4,4,3,5,4,5,4,4,1,2,4,2,3,5,2,1,4,1,2,4,4,4,5,5,4,2,1
77,4,4,4,1,1,2,2,2,2,1,,4,1,1,2,1,1,1,1,4,2,2,5,3,3,3,1,2,3,2,4,2,2,5,1,1
78,5,3,5,1,2,2,2,5,4,2,1,4,2,2,2,2,5,5,1,5,1,2,5,3,1,1,5,5,5,2,4,4,2,1,1,1
79,4,4,4,2,4,1,5,5,3,1,1,4,5,5,5,3,5,4,2,5,3,3,5,4,2,3,5,5,5,3,3,2,5,1,3,1
80,5,3,4,4,4,3,4,5,5,2,2,5,3,3,3,3,4,4,4,5,4,4,5,4,5,5,5,5,5,3,4,4,3,5,2,1
81,5,3,4,2,2,2,3,4,5,2,3,4,4,3,4,2,5,3,2,5,5,4,5,4,3,4,5,5,4,2,3,5,4,4,1,2
82,5,4,4,1,2,3,3,5,4,2,3,4,4,3,4,3,5,3,3,5,4,3,5,3,5,3,5,4,4,3,5,3,2,1,1,2
83,5,5,1,3,1,3,2,1,5,5,4,1,1,2,2,5,1,1,3,5,1,2,3,2,4,3,5,5,5,3,4,4,5,1,1,1
84,5,3,5,1,2,4,4,5,5,3,1,3,2,4,3,1,5,5,3,5,3,5,5,5,1,1,5,5,5,1,5,,2,1,1,1
85,5,3,1,1,4,5,5,1,5,5,5,4,4,5,5,4,3,1,5,5,5,5,4,1,5,5,3,5,5,5,5,5,5,4,1,1
86,5,2,3,3,5,5,3,3,4,4,1,1,1,2,3,3,2,4,3,5,3,3,5,4,3,5,5,5,3,3,3,4,3,1,5,5
87,4,3,4,3,3,3,2,4,5,3,3,4,3,3,3,3,2,3,3,5,2,4,4,1,4,4,3,4,4,3,5,5,5,5,4,4
88,5,4,4,1,2,2,4,4,5,2,4,3,5,3,4,4,5,2,1,5,1,5,5,4,1,5,3,2,4,2,3,5,4,5,,1
89,5,5,5,1,1,5,2,5,5,1,1,1,1,5,5,4,5,5,1,5,5,5,5,2,2,1,3,3,4,1,5,5,1,5,1,1
90,5,3,3,2,1,4,3,3,5,3,3,1,2,4,4,4,2,1,3,5,1,4,4,3,2,3,3,3,3,3,3,3,3,3,1,1
91,4,2,3,2,1,3,4,3,4,1,3,1,3,1,2,3,1,1,1,4,2,2,5,4,2,2,5,5,3,1,5,1,1,1,1,1
92,5,5,1,5,1,,5,3,5,5,5,1,5,1,3,1,1,1,1,5,4,4,5,5,3,1,5,5,1,1,3,1,1,1,1,1
93,5,2,1,3,4,4,4,2,3,1,2,1,3,5,4,3,3,1,4,5,1,3,3,4,3,2,4,4,5,3,3,4,3,2,3,3
94,5,4,1,5,5,4,4,4,3,3,3,1,1,5,4,1,1,1,4,4,4,3,3,1,4,3,3,4,3,3,1,2,3,1,4,4
95,5,5,5,1,1,1,2,4,3,1,3,5,2,1,3,3,1,4,1,5,5,5,5,1,4,2,2,3,3,1,5,3,2,1,1,1
96,5,3,3,2,2,4,3,3,3,1,2,5,5,4,4,2,3,2,2,5,3,3,5,3,5,5,4,4,3,1,5,4,4,4,1,2
97,5,3,1,1,1,1,1,2,4,5,4,3,1,1,1,4,1,4,1,2,1,1,5,1,5,5,5,5,1,1,2,1,1,1,1,1
98,5,3,2,1,1,1,1,2,1,1,1,5,2,2,1,1,1,2,1,5,2,3,5,3,5,5,3,5,5,3,5,3,2,2,4,1
99,3,5,5,1,1,1,1,3,5,2,1,1,3,2,2,5,5,3,1,3,3,3,2,2,5,5,1,3,5,3,5,1,1,1,1,2
100,5,3,4,1,1,2,2,4,2,1,3,2,4,1,2,1,4,1,1,3,2,1,5,4,2,1,4,3,5,1,3,3,4,1,5,5
101,5,4,4,3,2,4,5,4,5,3,2,4,4,3,3,2,3,2,2,5,2,2,5,5,3,2,5,5,3,2,3,3,1,2,2,3
102,5,3,1,3,2,3,1,2,4,5,4,1,4,3,3,3,1,1,2,4,1,4,5,3,4,5,4,5,5,4,5,5,1,4,1,1
103,5,3,1,2,3,5,4,1,5,2,5,1,4,5,5,5,2,1,4,5,4,5,5,4,5,4,5,5,5,2,5,5,5,5,4,4
104,5,5,5,2,2,,4,5,1,1,1,5,5,4,3,2,5,4,4,5,1,5,5,5,4,4,2,5,5,4,4,5,4,4,2,2
105,4,4,3,3,2,4,2,2,4,4,3,3,3,4,4,4,3,3,2,4,4,4,4,2,3,5,4,4,5,3,4,5,4,5,2,2
106,5,5,1,3,1,3,2,2,4,5,1,1,2,3,1,1,1,1,2,4,1,2,4,3,1,4,4,5,5,3,3,4,2,2,1,1
107,5,3,4,4,5,5,3,4,5,1,2,4,4,4,5,3,5,3,4,5,2,3,5,5,5,5,5,5,4,3,4,4,4,3,3,1
108,5,3,1,1,1,2,2,2,4,4,1,1,3,4,2,4,2,1,,3,1,1,4,2,2,3,3,3,2,1,1,1,2,4,1,3
109,4,3,2,2,1,4,1,2,4,4,3,2,1,1,2,3,2,2,3,5,3,5,5,4,3,2,4,4,3,1,5,1,3,2,3,2
110,5,2,2,2,4,4,2,3,5,5,3,2,2,2,3,1,3,1,4,5,1,4,4,2,5,5,3,3,4,3,5,3,3,4,2,2
111,5,4,4,5,2,3,1,4,4,1,1,1,4,5,4,4,4,4,1,4,1,2,5,3,4,5,4,3,4,5,4,3,4,1,2,3
112,5,3,4,3,2,5,3,3,4,2,2,3,3,4,4,5,2,4,4,4,1,2,4,4,2,2,5,4,4,2,4,3,4,1,1,1
113,5,3,4,2,2,4,3,3,3,2,2,1,3,4,2,3,5,4,1,5,1,3,4,4,3,1,4,4,4,1,2,2,3,1,2,1
114,3,4,4,2,3,1,2,4,4,2,1,,1,1,2,2,2,5,1,4,3,3,5,5,1,1,5,5,5,2,3,2,2,1,1,2
115,5,3,2,1,1,3,4,4,4,1,3,2,2,2,3,3,1,1,4,5,1,4,4,3,2,2,5,5,3,2,4,5,3,1,1,1
116,5,4,5,2,2,5,4,5,5,2,2,3,3,3,2,3,5,3,2,5,5,5,5,3,3,,3,5,3,1,5,2,5,3,1,3
117,5,3,2,2,2,2,1,3,5,1,2,1,1,2,4,5,2,1,1,4,1,2,5,5,3,3,5,5,3,1,2,2,4,2,1,2
118,5,3,2,2,1,1,3,5,3,2,1,1,1,1,2,1,4,1,1,4,1,2,4,5,2,2,4,2,4,1,4,2,2,2,5,2
119,5,3,1,2,2,4,1,3,4,2,4,2,4,4,4,4,2,1,1,5,3,2,3,2,2,3,2,2,3,3,2,3,2,4,4,2
120,4,2,4,2,1,3,2,4,2,2,1,2,2,2,2,1,2,3,2,3,2,3,4,3,1,2,3,3,2,1,2,4,4,2,4,2
121,5,5,4,1,2,4,4,2,5,5,2,1,3,5,5,3,4,3,2,3,1,3,5,4,2,5,4,4,5,3,5,5,3,4,5,5
122,4,3,2,3,4,2,1,4,4,2,2,4,2,2,4,1,1,3,1,4,4,4,4,3,3,4,3,4,1,3,4,1,3,3,4,3
123,5,3,3,2,2,5,3,1,5,2,4,1,3,4,4,5,3,1,3,4,4,4,3,2,2,2,4,4,5,2,5,5,2,1,1,1
124,5,3,3,3,3,3,4,3,5,3,1,3,1,5,5,3,3,1,3,3,1,4,4,2,1,1,2,4,5,1,4,2,3,1,1,3
125,4,4,1,4,,5,5,3,5,3,3,1,2,4,5,2,3,1,3,4,5,5,5,4,5,5,5,5,5,5,4,4,4,4,1,3
126,5,3,3,3,2,3,2,2,4,3,3,2,4,5,3,4,3,2,2,5,2,3,5,4,4,3,4,4,3,2,2,4,4,4,2,2
127,3,5,4,1,1,3,1,4,4,1,4,4,1,1,1,2,1,1,1,3,1,2,4,4,1,1,5,5,3,1,4,5,2,2,2,1
128,4,3,3,3,4,4,3,4,4,3,3,3,4,3,4,4,2,3,3,5,2,4,4,3,4,4,3,3,4,2,4,4,4,4,3,2
129,5,5,5,1,5,5,5,5,5,5,1,2,3,1,5,5,5,5,2,5,1,4,3,5,5,5,2,5,2,1,1,4,5,3,3,5
130,5,4,5,3,1,2,2,4,5,2,2,2,3,4,3,4,3,1,1,5,1,1,4,5,2,2,5,5,5,2,2,4,3,2,1,1
131,4,2,2,1,1,4,2,2,5,3,3,1,2,2,3,1,3,3,2,5,4,5,4,2,3,4,2,3,,1,2,5,3,5,2,1
132,5,4,3,1,1,2,2,4,2,1,2,5,2,1,1,1,1,3,1,5,3,5,2,1,4,3,3,3,3,4,5,1,3,4,1,1
133,5,4,3,1,1,1,1,4,4,1,5,2,4,3,2,2,2,1,1,5,4,4,5,5,5,4,2,5,4,1,3,1,5,2,4,1
134,5,3,2,4,1,4,2,1,3,1,1,1,2,5,1,1,3,1,3,5,1,1,2,2,1,4,5,4,5,1,4,4,1,1,1,1
135,5,3,4,3,3,3,3,3,3,1,1,4,4,4,4,4,4,4,2,5,5,3,5,5,5,3,5,5,5,3,4,3,3,3,1,2
136,5,3,2,1,3,5,1,3,5,4,4,3,5,4,4,5,1,1,3,4,3,5,5,2,4,5,3,3,5,2,4,5,2,1,3,2
137,5,3,4,3,2,3,2,4,3,1,1,5,1,1,1,1,1,1,3,5,4,4,5,4,3,5,2,2,4,3,4,4,2,5,2,4
138,5,3,4,3,3,5,5,5,4,2,2,4,3,5,4,3,4,2,2,2,1,3,4,3,1,2,4,5,3,1,3,4,,3,3,3
139,5,3,2,3,3,4,5,2,1,1,1,3,3,4,4,2,3,1,2,5,1,2,5,5,1,3,5,4,4,3,2,2,3,2,1,1
140,5,4,5,3,2,3,3,5,4,1,2,5,3,4,4,1,2,3,2,5,3,3,5,5,2,1,3,4,1,2,3,1,3,1,2,1
141,5,4,3,2,1,2,3,4,4,2,2,2,2,5,3,2,4,3,2,5,1,,5,5,5,5,5,5,5,4,5,5,4,3,2,2
142,3,4,1,3,1,3,1,3,5,5,4,4,3,1,1,5,5,2,1,3,3,1,5,5,1,1,5,5,5,1,1,3,5,1,5,5
143,5,4,4,1,3,2,2,4,4,1,1,3,2,1,1,2,3,2,1,4,1,2,4,4,4,1,3,4,1,1,2,1,2,2,2,1
144,5,4,4,2,1,1,2,4,4,2,3,5,4,1,1,3,3,3,1,,4,2,4,3,3,1,4,5,4,1,2,,4,2,1,1
145,5,2,3,1,2,3,2,,5,1,3,2,2,2,4,3,4,4,2,5,5,2,5,3,5,5,3,4,5,1,4,3,4,1,1,4
146,1,4,4,1,1,2,2,2,4,1,1,1,2,1,1,3,2,3,2,4,2,4,4,4,1,2,2,2,4,1,1,2,4,2,1,
147,5,3,5,2,1,4,1,5,4,3,4,5,1,1,1,1,2,,1,5,3,5,5,4,3,4,2,2,5,2,5,5,3,5,1,1
148,5,4,3,2,3,2,2,3,5,4,3,5,2,2,2,4,2,1,1,5,2,3,3,3,4,3,4,2,4,2,4,4,2,3,5,5
149,4,3,4,4,4,3,3,5,3,2,3,4,3,2,4,3,3,3,2,4,4,4,5,5,4,3,3,3,4,3,4,3,4,3,4,4
150,2,3,1,3,1,3,4,1,2,2,2,3,2,1,1,1,1,1,2,3,2,2,4,2,5,5,4,4,4,2,2,2,3,1,5,5
151,5,2,2,2,3,4,4,3,5,5,3,1,2,4,4,3,1,1,4,5,2,4,4,3,4,2,2,2,3,1,4,2,3,4,3,3
152,5,4,3,1,1,3,2,2,4,4,4,2,5,4,4,4,2,2,1,5,4,4,5,2,2,2,3,3,2,1,4,4,4,4,2,2
153,5,3,5,2,2,3,3,4,4,2,1,4,3,3,4,3,2,2,2,5,5,3,5,3,2,5,2,3,5,2,4,5,5,5,2,1
154,2,5,5,2,2,3,2,4,2,1,2,4,1,4,2,1,3,3,3,3,2,4,5,4,3,3,3,5,4,2,4,5,3,5,1,2
155,5,3,1,2,4,5,1,1,5,4,4,2,2,3,3,3,2,1,3,4,4,4,5,3,2,5,1,1,5,3,4,5,1,5,3,4
156,5,4,4,3,3,5,2,3,3,2,3,3,2,4,3,4,2,2,3,4,5,4,3,3,4,2,3,4,3,1,2,4,5,2,3,2
157,5,4,2,4,3,4,2,3,5,2,5,3,5,2,3,3,2,1,2,5,4,4,4,4,3,3,3,2,3,2,4,5,2,4,1,1
158,5,5,4,4,4,2,2,4,4,4,4,2,2,2,1,2,1,1,2,5,5,5,3,2,4,5,3,3,3,4,4,3,4,3,2,2
159,5,3,4,2,1,3,2,5,4,1,3,4,5,4,3,3,2,5,1,5,4,4,5,5,4,1,5,5,2,1,4,1,2,1,3,2
160,5,3,4,4,3,5,4,4,5,3,3,3,4,3,3,4,3,3,3,5,2,4,4,3,4,4,,4,3,3,4,4,4,4,3,2
161,5,3,3,2,1,2,1,1,5,4,5,3,5,4,4,5,1,3,1,5,5,4,5,3,5,5,4,4,4,1,3,4,3,5,5,4
162,5,3,2,2,2,2,2,4,5,3,3,4,3,2,3,2,2,3,2,5,2,5,5,3,5,2,4,4,3,1,5,2,2,1,1,1
163,4,2,3,5,4,5,2,4,3,1,1,5,4,3,2,1,5,1,3,4,2,2,5,5,3,5,2,1,5,3,2,5,3,3,1,1
164,5,5,3,1,1,2,1,4,3,2,1,1,1,1,1,3,1,5,1,4,5,5,3,3,5,3,2,2,4,1,3,5,5,3,1,1
165,5,4,4,2,1,3,2,4,,1,3,2,2,4,4,5,2,3,2,5,2,5,3,3,2,1,3,,3,1,2,3,3,2,1,1
