0,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,History,Psychology,Politics,Mathematics,Physics
166,5,4,5,2,4,3,1,4,1,1,1,5,3,3,2,1,5,2,1,5,1,1,5,5,2,5,3,2,4,1,3,3,4,5,2,1
167,5,5,1,2,1,3,1,1,3,5,2,1,1,1,1,2,2,1,5,4,4,4,5,3,3,2,3,4,3,1,4,2,2,2,2,2
168,3,3,3,2,2,,2,3,4,3,4,4,4,3,3,3,3,3,2,3,1,2,5,2,3,1,1,2,5,2,2,3,3,3,1,2
169,5,4,4,1,2,4,3,4,4,1,3,3,3,3,4,2,1,1,1,5,5,5,5,3,3,3,4,4,4,3,4,3,4,4,1,1
170,5,3,2,1,2,4,4,3,5,4,3,1,1,3,3,4,1,1,1,5,3,2,2,1,2,4,3,5,3,2,3,4,2,2,1,1
171,4,3,2,3,2,2,1,3,4,2,2,2,3,5,4,5,4,1,1,3,1,2,5,2,3,5,4,5,4,1,3,5,4,5,5,3
172,5,4,3,1,2,4,3,4,4,1,1,4,3,3,3,2,1,1,1,5,5,5,5,3,3,4,3,4,3,2,4,4,4,4,1,1
173,5,3,2,3,3,4,4,2,5,5,5,2,4,4,4,4,2,1,3,3,3,3,4,2,5,4,3,4,5,3,3,5,4,4,3,3
174,5,3,2,1,2,4,4,3,2,1,1,2,1,2,3,2,1,5,4,5,4,3,5,4,5,3,3,4,5,3,4,3,2,1,4,2
175,5,2,1,5,3,3,3,1,1,1,1,1,1,1,1,1,3,1,5,5,1,5,5,5,5,5,5,1,5,3,5,5,1,3,1,1
176,5,3,1,1,1,5,3,3,5,5,2,3,4,4,4,2,4,2,1,4,2,4,5,5,1,1,4,5,2,1,2,1,5,1,1,1
177,5,3,3,,1,1,1,3,5,5,3,2,4,3,5,4,1,2,1,5,3,2,4,3,4,3,3,4,3,2,4,1,1,1,5,4
178,5,3,1,4,2,4,3,1,5,5,3,1,3,3,3,5,2,1,3,5,3,4,5,5,4,3,4,4,5,3,4,3,3,1,1,1
179,4,3,1,3,3,5,2,2,4,4,3,1,2,2,4,3,2,1,4,3,3,3,3,2,2,2,5,5,4,3,3,4,4,1,3,3
180,4,3,1,2,2,5,2,1,1,2,1,1,1,4,1,1,1,4,5,4,4,4,4,2,4,5,4,5,5,2,4,5,5,3,2,2
181,4,4,2,1,1,3,3,2,5,4,5,2,2,1,4,4,1,1,1,4,5,5,5,1,5,1,1,1,4,1,3,4,5,5,4,3
182,5,3,4,3,3,4,3,3,4,3,3,4,4,5,3,3,5,3,3,4,2,3,4,2,2,3,3,3,3,3,3,4,4,2,2,3
183,5,3,4,3,2,4,4,4,5,4,3,2,4,3,2,3,4,1,5,5,1,4,5,4,3,1,5,5,4,2,4,3,2,3,2,2
184,5,3,3,2,1,2,5,4,3,1,1,5,4,4,3,4,3,4,3,5,,4,4,2,2,5,,3,5,3,5,5,5,5,2,2
185,5,4,2,2,2,3,4,2,5,1,2,1,1,4,5,5,1,1,2,5,3,3,5,2,3,1,3,3,3,2,1,3,3,1,1,1
186,3,3,3,1,1,2,5,3,2,1,1,4,3,3,4,1,5,3,1,5,1,2,5,5,3,3,5,5,3,2,3,2,5,2,5,2
187,4,2,2,4,2,3,3,4,2,1,1,1,1,3,2,2,3,2,4,4,1,2,5,5,2,2,4,1,5,2,2,3,3,3,1,1
188,5,3,1,2,2,2,1,4,3,2,2,1,1,2,1,5,1,5,1,4,2,4,4,1,2,2,2,2,2,1,3,5,3,1,1,1
189,3,3,3,3,2,5,4,3,3,1,1,3,2,2,2,2,2,1,4,2,2,2,2,2,2,5,5,5,5,3,3,4,1,3,1,5
190,5,3,1,3,2,5,3,1,4,5,4,1,1,1,3,2,1,1,4,5,5,5,4,4,4,5,3,3,4,5,4,4,3,2,3,1
191,4,4,2,2,2,4,2,2,4,5,3,2,3,2,3,3,2,2,3,4,3,5,4,4,3,3,4,4,4,2,2,3,3,2,5,3
192,5,3,2,5,2,4,5,5,2,1,1,1,3,4,3,4,3,1,4,4,1,2,4,5,1,1,5,5,4,1,1,3,4,1,1,1
193,5,1,4,1,2,3,3,5,4,1,3,5,2,1,3,2,3,4,1,5,3,3,5,4,3,2,5,5,4,1,2,3,3,2,1,1
194,5,3,1,4,3,5,3,1,5,5,4,1,3,3,5,5,1,1,3,5,3,4,5,5,4,3,3,4,5,1,4,3,3,1,1,3
195,5,4,1,2,1,3,2,2,4,2,4,2,3,1,5,5,1,1,1,5,3,5,4,2,4,4,3,3,2,2,3,2,3,2,1,1
196,5,3,2,2,2,3,2,2,3,1,1,5,3,3,3,3,2,1,2,4,5,5,5,4,3,3,3,2,3,2,4,3,3,2,1,1
197,5,3,2,2,2,2,3,4,4,3,3,4,4,3,3,3,3,3,3,5,1,2,5,5,4,3,5,5,4,3,3,4,4,2,1,1
198,5,3,3,2,3,1,4,2,2,1,1,3,2,2,1,1,3,1,1,5,4,4,5,5,1,3,3,2,1,1,1,2,1,1,1,1
199,5,3,3,4,2,2,2,3,5,3,5,5,4,2,5,2,2,2,2,3,5,3,3,2,3,5,5,5,3,2,3,4,3,2,1,1
200,5,4,4,1,1,1,1,2,3,1,1,4,2,1,1,1,2,4,1,4,1,4,5,2,3,3,3,3,4,2,4,2,2,1,1,2
201,4,3,3,1,2,4,3,4,4,4,3,5,4,3,4,2,2,2,1,5,4,4,5,5,5,5,4,4,5,4,3,3,2,3,1,3
202,5,3,2,4,3,3,3,5,5,,3,5,5,1,5,5,3,2,1,5,3,3,5,5,4,4,5,,5,2,5,4,5,1,1,1
203,5,3,5,1,1,1,1,3,2,1,1,5,3,1,1,1,1,4,1,5,5,3,5,2,5,5,4,4,2,3,5,2,2,2,1,1
204,5,3,4,2,2,3,1,4,5,3,3,3,3,2,2,2,4,3,3,5,3,3,5,5,3,3,5,5,2,2,4,2,2,1,3,2
205,5,3,3,3,2,3,3,2,5,4,4,2,5,4,5,4,3,1,2,5,1,2,4,2,5,1,4,5,4,2,3,1,2,1,4,3
206,5,1,2,4,3,5,5,4,4,3,1,1,1,4,5,3,4,1,5,5,1,1,4,4,3,3,5,4,5,2,1,5,4,1,1,2
207,5,3,5,2,2,5,5,3,4,4,3,1,2,4,4,3,1,1,5,5,5,4,4,1,4,4,2,2,4,4,5,5,3,5,4,4
208,5,3,2,3,3,4,5,3,3,1,4,2,2,3,4,2,4,1,4,5,5,5,5,5,5,5,5,5,5,1,4,5,2,4,1,1
209,5,3,3,2,1,3,2,4,4,1,5,4,5,5,5,3,3,1,2,3,3,4,4,2,3,5,5,3,4,1,3,3,3,3,1,1
210,5,2,4,3,3,4,3,2,5,4,3,5,4,5,4,2,4,2,2,5,1,4,5,3,3,5,3,4,4,3,4,4,4,4,4,3
211,5,4,5,5,5,5,1,4,5,4,3,4,4,4,5,3,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5
212,5,4,5,1,2,2,5,5,5,1,1,5,4,4,5,2,5,4,1,5,2,5,5,5,3,3,5,1,3,2,5,1,3,2,1,1
213,5,3,1,3,3,5,1,2,4,2,3,3,2,4,5,5,1,2,5,5,5,5,5,3,5,5,5,5,5,3,5,5,3,4,5,5
214,5,4,4,2,3,3,4,5,5,2,5,4,2,2,2,4,3,5,2,5,1,3,5,4,3,3,5,5,4,2,5,3,3,3,3,4
215,4,3,2,2,2,3,3,3,5,4,3,2,2,5,5,4,3,1,2,5,1,3,5,2,3,2,4,4,5,3,4,4,3,3,3,3
216,1,3,2,2,1,1,1,3,1,1,1,5,1,1,1,1,5,1,1,4,5,1,5,3,1,5,1,1,3,4,5,3,1,1,1,1
217,5,4,1,1,1,1,1,1,4,5,3,2,1,1,3,1,1,2,1,4,4,2,3,1,1,4,1,1,3,1,2,3,3,2,3,4
218,5,3,4,1,3,2,5,4,3,1,2,3,1,2,4,4,3,2,3,5,1,3,5,5,3,2,5,5,4,2,4,2,3,1,2,1
219,5,4,2,1,3,2,3,4,3,1,1,4,3,1,2,2,1,3,2,5,3,2,5,3,5,5,3,4,5,1,5,2,1,5,2,4
220,5,5,5,1,1,1,2,3,1,1,1,5,2,1,1,1,2,5,1,5,5,5,5,1,3,5,3,3,5,3,5,5,3,4,1,2
221,5,3,4,3,3,4,2,1,3,1,2,5,4,4,2,5,3,1,3,5,3,3,5,3,2,3,4,5,4,3,4,3,3,1,1,1
222,5,3,4,5,1,4,3,3,5,5,4,5,5,5,4,4,3,4,3,5,4,5,5,3,4,3,4,5,4,3,2,3,4,1,4,4
223,5,3,3,2,4,4,3,5,5,3,3,2,1,4,3,3,3,1,1,5,1,3,5,5,3,3,5,5,3,3,3,2,3,1,2,2
224,5,3,3,3,2,3,1,4,2,2,1,4,3,4,2,2,5,2,2,5,1,2,5,3,2,2,4,5,4,1,4,4,5,2,3,2
225,5,3,2,2,3,5,4,4,5,3,4,3,3,2,3,5,2,1,2,5,4,3,4,3,4,5,2,4,3,1,5,2,4,3,1,3
226,5,4,2,3,2,4,4,2,5,2,4,3,4,4,5,5,3,2,2,5,3,3,4,2,5,5,2,4,5,3,5,3,3,4,4,4
227,5,5,5,5,4,,3,4,5,3,3,5,3,2,,1,,3,1,5,3,3,5,1,3,1,5,5,3,1,5,2,1,3,1,1
228,5,2,2,4,3,5,3,2,4,3,3,2,3,5,3,4,4,1,3,5,2,4,3,3,2,4,4,5,5,2,4,5,4,3,3,4
229,4,3,3,5,3,4,2,3,3,1,2,1,2,5,4,4,3,2,3,5,1,2,3,2,5,5,3,3,4,3,3,3,3,2,3,3
230,4,3,4,2,4,1,1,4,3,1,4,2,5,3,3,2,2,3,3,3,1,3,4,1,2,2,3,2,3,3,5,2,1,1,4,2
231,5,2,2,5,4,5,5,5,3,1,3,4,3,3,3,3,5,2,3,4,1,3,4,4,4,4,4,4,4,2,4,4,4,4,3,1
232,5,1,3,2,3,2,2,4,5,3,3,1,2,3,5,1,5,1,1,5,4,4,5,5,2,1,4,3,3,1,3,2,4,2,2,1
233,5,3,1,2,4,4,1,2,3,2,2,3,4,5,3,1,4,3,1,5,4,5,5,5,5,5,2,3,3,2,5,1,2,4,4,1
234,4,4,4,2,2,4,3,4,4,4,4,4,4,2,4,3,4,4,1,5,5,5,5,5,4,3,4,4,3,2,3,1,4,1,1,1
235,4,4,4,4,3,2,1,4,5,4,4,2,4,1,3,4,5,1,1,3,1,1,5,5,2,2,5,5,4,2,3,1,1,1,5,4
236,5,3,1,1,1,3,3,3,5,4,2,1,1,3,4,2,4,1,2,5,1,2,5,3,1,4,5,5,3,2,3,5,5,4,1,1
237,1,3,3,3,2,3,5,4,4,3,3,2,4,3,4,2,4,1,1,5,2,3,5,3,3,5,5,5,5,2,5,5,4,5,3,2
238,5,4,4,2,1,3,3,4,3,1,1,5,4,3,2,2,5,3,2,4,3,2,5,5,2,3,5,5,4,2,3,2,2,3,4,1
239,5,2,2,1,2,2,3,4,2,1,1,5,3,2,3,2,4,1,1,5,5,4,5,5,3,4,5,5,3,2,3,2,3,2,2,2
240,5,3,4,2,1,5,2,2,4,1,3,3,3,4,4,4,2,2,4,5,1,3,5,3,3,3,4,4,2,1,4,4,2,4,1,2
241,3,4,2,1,1,1,1,2,3,2,1,2,2,2,2,2,1,2,1,3,3,3,5,3,3,4,5,5,4,3,4,3,3,5,2,2
242,5,4,2,1,1,3,5,3,3,1,2,5,3,3,3,3,2,1,4,5,3,3,4,4,4,5,4,3,3,2,4,3,4,4,4,5
243,3,3,3,2,1,2,5,5,4,1,1,1,1,2,2,1,4,1,3,5,1,5,5,4,4,2,3,2,2,1,3,3,3,2,1,1
244,,3,2,1,2,4,5,5,5,1,4,1,2,4,5,4,3,1,2,5,2,4,2,2,4,4,4,3,4,2,2,4,5,2,4,1
245,5,3,5,2,4,3,5,5,5,2,3,2,3,3,4,3,5,2,1,5,5,5,5,4,2,1,5,5,2,1,4,1,5,2,1,1
246,5,3,2,3,3,2,2,3,4,3,4,4,5,4,5,5,3,1,1,5,5,4,5,3,2,1,5,5,3,2,5,3,5,2,1,1
247,5,3,3,2,3,4,1,4,5,2,2,3,4,4,4,1,5,1,4,5,4,4,5,4,5,5,5,2,5,5,5,5,3,2,5,4
248,5,3,3,2,1,4,5,3,5,2,3,3,4,5,3,5,4,2,1,5,1,1,5,5,2,3,4,5,5,1,2,3,2,1,1,2
249,5,3,4,1,1,4,3,4,5,4,3,4,2,2,2,2,2,3,3,5,4,4,5,5,4,3,5,5,3,2,5,5,5,3,2,2
250,5,3,3,4,4,4,4,5,5,4,4,2,2,4,4,4,5,2,4,5,4,4,5,3,5,3,5,5,5,2,5,4,4,2,1,1
251,5,3,3,2,1,2,2,4,3,2,2,4,4,2,2,2,4,2,1,5,3,5,5,5,4,2,2,2,2,2,3,1,1,2,1,1
252,5,5,5,2,2,3,5,5,5,2,4,4,4,3,3,2,4,5,2,5,5,4,5,5,5,3,5,5,5,2,2,2,2,2,1,1
253,5,2,2,2,3,3,3,4,5,1,2,2,1,3,2,5,4,2,4,5,2,2,5,5,4,4,5,5,4,3,4,3,4,2,1,1
254,5,3,3,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,3,1,2,1,2,1,2,1,3,1,1,5
255,5,3,5,3,2,2,5,5,3,1,1,4,2,1,5,2,5,3,2,5,1,2,5,5,1,5,5,2,3,1,4,2,4,3,2,1
256,5,3,2,5,4,5,5,3,5,4,3,3,3,4,4,4,5,1,4,5,1,3,4,4,2,1,5,5,5,4,2,2,5,1,2,2
257,5,3,3,4,2,1,2,5,2,1,1,3,2,1,2,1,5,1,1,3,2,2,5,5,2,2,5,5,2,2,2,3,2,2,1,1
258,5,3,5,3,2,3,3,4,4,3,1,4,2,3,3,3,2,5,2,5,3,4,5,3,5,5,4,5,5,4,5,4,2,4,5,3
259,5,4,1,2,1,5,1,1,5,5,2,1,1,4,3,5,2,1,1,5,4,5,5,2,5,3,5,5,3,1,2,2,2,2,4,4
260,2,3,3,3,3,2,2,3,4,2,2,2,1,3,5,2,5,1,5,3,1,1,5,1,1,4,3,1,5,1,1,5,4,4,1,2
261,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3
262,5,3,4,2,3,2,2,5,2,1,2,2,1,1,1,1,3,1,1,5,5,4,5,5,4,1,4,5,3,1,4,3,2,4,4,2
263,5,4,3,4,2,5,4,2,5,2,1,3,3,5,3,5,2,3,4,4,1,2,3,3,3,3,4,4,5,3,3,3,5,4,3,2
264,5,5,5,2,2,2,4,5,4,2,2,4,3,2,4,3,5,3,2,5,4,2,5,4,3,2,4,5,1,1,3,1,4,2,3,2
265,3,3,3,3,1,3,3,5,4,3,3,5,4,3,3,3,3,3,3,5,5,5,5,,4,5,3,5,3,2,5,2,2,2,2,2
266,5,3,3,2,1,2,3,5,2,1,1,4,3,3,2,1,1,1,1,5,3,3,5,5,4,2,2,2,2,1,3,1,1,1,2,1
267,5,3,3,3,2,3,3,4,4,1,1,2,2,4,3,1,4,1,2,5,2,3,5,5,3,3,4,4,3,2,2,3,3,1,4,3
268,5,3,4,3,4,4,3,2,4,4,4,3,2,2,3,2,3,2,3,4,2,3,5,4,2,2,5,5,4,4,4,4,4,4,3,4
269,5,3,3,2,1,2,2,5,2,1,1,2,3,3,3,2,5,1,2,4,1,1,5,5,4,2,5,5,5,2,3,1,2,2,5,3
270,5,3,3,1,2,4,4,3,5,3,4,1,1,1,3,2,4,2,4,5,4,4,4,3,3,4,4,4,4,2,3,3,3,3,2,2
271,5,3,3,2,1,1,3,4,5,4,5,5,5,5,5,5,3,2,1,5,3,3,5,4,2,2,5,5,5,2,5,3,5,3,1,1
272,5,3,4,3,1,1,1,4,5,5,5,5,5,4,5,4,2,1,1,5,4,3,4,2,1,5,3,3,4,2,5,4,1,3,2,1
273,5,3,2,4,3,5,3,2,5,5,5,2,5,4,3,5,2,1,5,5,3,2,5,2,2,4,3,5,5,1,2,3,4,2,3,2
274,5,3,4,2,2,4,4,4,4,2,4,4,4,5,4,4,4,4,3,5,3,5,4,5,4,5,5,5,4,3,3,3,4,3,2,1
275,5,4,5,3,3,2,2,4,3,1,1,4,3,2,4,1,3,2,1,4,3,3,5,4,1,2,3,4,5,2,2,5,5,5,1,1
276,5,3,3,3,4,4,5,3,4,4,3,2,2,4,3,3,5,4,3,5,4,3,5,4,5,3,5,5,4,3,4,5,5,4,2,2
277,5,4,5,3,5,2,2,5,5,4,3,1,1,1,4,3,3,1,1,5,4,4,5,4,5,4,5,5,3,3,5,4,1,1,3,1
278,5,3,2,1,3,3,1,4,5,3,1,2,2,3,5,1,2,2,2,5,5,4,5,4,5,5,3,3,4,4,4,5,3,4,2,2
279,5,4,3,5,2,4,3,3,4,2,3,5,5,2,3,5,4,3,3,5,4,4,5,2,5,3,5,5,5,3,5,4,3,3,3,3
280,5,3,4,2,2,2,1,4,3,1,3,3,3,1,1,1,2,2,1,4,3,3,5,5,3,2,5,5,5,1,1,3,4,1,1,1
281,5,3,4,2,1,3,4,2,5,5,3,2,3,2,2,4,5,5,2,4,1,1,5,5,3,1,3,4,3,2,4,3,4,2,1,2
282,5,3,4,2,3,4,1,2,4,4,5,4,4,5,5,2,5,3,2,4,1,4,5,2,3,3,4,1,5,5,5,2,3,3,1,4
283,5,3,1,1,2,1,2,3,2,1,1,1,2,1,2,2,3,1,1,3,3,4,5,2,1,1,3,3,1,1,2,1,3,2,1,1
284,5,3,4,2,3,3,2,4,4,2,4,4,,5,3,2,3,3,2,5,2,4,4,4,3,4,3,3,5,4,4,2,2,2,5,3
285,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,4,2,5,5,5,5,4,2,5,2,1,1,4,1
286,5,4,3,1,1,3,3,5,5,1,1,3,1,2,1,1,1,1,4,5,3,4,5,4,2,2,3,3,2,1,3,2,3,2,2,1
287,5,3,3,2,2,4,3,4,4,1,3,5,5,3,3,4,4,1,1,5,4,4,5,3,3,4,4,4,4,1,4,4,4,1,1,1
288,5,3,3,1,1,3,2,4,4,2,4,4,1,3,3,4,2,3,3,5,3,3,4,4,2,3,4,4,3,2,2,4,3,3,1,1
289,5,3,5,3,,3,1,2,3,2,1,4,4,2,3,1,4,5,1,4,5,5,5,3,1,5,4,4,5,5,5,2,2,1,1,3
290,5,3,4,2,2,3,4,4,4,2,2,4,1,2,4,1,,2,3,4,3,3,4,2,2,4,2,3,2,2,4,5,2,5,1,2
291,4,3,4,1,1,2,4,4,4,1,1,4,3,4,4,3,4,1,1,5,2,4,5,5,3,3,5,5,4,1,2,4,3,3,1,1
292,4,3,3,3,3,3,3,3,5,4,4,3,4,3,4,3,3,2,3,4,2,4,4,4,4,3,4,4,3,2,4,4,3,3,2,1
293,5,4,5,2,3,2,5,5,4,1,3,3,3,3,3,3,5,2,1,5,2,4,5,5,3,2,5,5,3,2,5,3,4,3,1,1
294,5,1,2,2,2,4,4,1,5,4,5,1,4,3,3,5,2,1,2,5,1,1,5,4,5,4,5,5,4,3,1,4,1,1,5,5
295,5,3,2,2,1,4,2,3,4,1,4,,4,4,3,4,4,1,2,3,3,3,4,2,2,3,2,2,4,2,2,5,5,4,1,1
296,5,3,3,2,5,3,3,4,5,3,2,2,4,3,5,5,3,1,4,5,3,5,3,4,2,5,5,4,4,4,2,3,3,3,1,1
297,5,4,5,1,1,1,1,5,3,2,2,2,4,1,3,3,1,5,1,5,5,5,5,1,4,4,1,1,3,4,5,4,2,3,4,3
298,5,3,2,1,2,3,2,2,3,2,3,1,3,3,2,4,2,4,2,5,2,2,4,3,4,2,2,3,2,2,3,1,4,1,3,3
299,5,3,5,2,3,2,2,4,3,1,1,5,4,4,5,1,5,2,1,5,2,2,5,4,2,5,5,5,4,2,3,3,5,3,1,1
300,5,3,4,1,1,3,4,2,4,1,3,5,5,3,2,2,3,1,2,5,5,5,5,3,1,3,5,5,5,1,5,3,4,3,1,1
301,5,2,1,5,2,5,2,2,4,5,3,1,1,3,3,5,1,1,5,3,2,4,1,3,5,4,4,5,5,1,4,3,4,3,3,2
302,4,2,1,2,1,5,2,1,5,5,1,1,1,2,1,2,1,1,4,5,1,3,4,2,4,5,5,2,5,4,5,5,5,2,2,4
303,5,4,5,4,1,2,5,5,5,2,2,5,3,1,4,1,5,1,2,5,3,4,5,4,1,1,5,5,3,1,1,3,4,3,1,1
304,4,5,2,2,4,2,5,4,5,4,2,4,2,2,3,1,5,1,1,5,1,3,5,4,1,3,3,3,3,4,5,4,2,2,5,2
305,5,3,2,2,1,4,4,4,4,2,1,2,3,2,2,1,2,1,3,5,1,3,5,4,3,1,4,4,2,1,4,4,5,4,1,1
306,5,3,3,2,1,2,2,2,5,2,3,2,2,3,4,5,1,1,2,5,1,1,5,5,2,4,5,4,4,1,4,5,5,5,4,2
307,5,5,5,3,3,3,3,3,4,2,4,4,5,5,5,5,5,4,1,5,3,1,5,5,2,1,5,5,2,1,1,3,4,1,4,1
308,5,3,1,4,3,2,5,2,5,4,3,1,1,5,5,3,3,1,1,5,1,1,5,3,4,1,5,5,5,1,1,2,2,2,5,3
309,5,5,5,2,3,3,2,4,3,1,,3,1,1,1,2,3,4,1,4,3,4,4,4,5,4,5,5,4,2,3,3,4,4,2,2
310,5,3,4,2,1,3,3,3,4,1,1,4,1,1,4,2,2,2,1,4,5,5,3,2,3,2,3,3,2,1,3,2,3,1,3,3
311,5,5,4,1,1,3,2,4,4,2,1,1,2,1,1,1,3,5,3,3,3,4,3,3,3,2,2,4,3,1,5,1,1,1,2,2
312,5,4,5,5,2,5,5,5,5,2,2,5,5,5,3,3,5,2,5,5,4,4,5,4,5,3,4,5,5,3,5,5,3,3,3,1
313,2,4,2,1,1,2,2,3,4,3,2,3,3,3,3,2,1,2,1,5,4,4,4,3,4,5,2,2,3,1,3,2,1,1,2,2
314,5,4,3,2,2,4,3,4,2,1,1,4,1,3,4,2,4,2,2,5,4,4,5,4,5,3,4,3,3,1,3,3,4,4,1,1
315,5,4,5,4,5,4,5,5,5,5,5,2,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,4,5,5,4,2,5,5
316,5,3,1,1,1,3,3,5,2,1,1,2,1,1,1,2,2,1,2,4,1,3,4,1,2,5,4,3,3,2,4,4,2,2,1,1
317,5,3,4,1,1,1,3,3,3,1,2,3,2,1,1,2,2,4,2,4,2,3,5,4,3,2,3,5,3,1,3,3,2,2,2,2
318,5,3,5,2,2,2,1,3,5,1,2,2,1,2,3,3,4,4,1,5,5,5,5,1,5,5,3,3,3,1,5,1,1,1,3,3
319,5,3,2,3,4,3,3,3,1,1,3,3,2,4,4,3,3,2,1,5,3,4,4,5,5,3,2,1,1,4,3,3,5,1,3,1
320,5,3,4,3,2,4,5,5,4,1,2,3,3,4,3,4,4,3,2,5,1,3,5,5,3,4,5,5,3,2,4,3,5,4,1,1
321,5,4,3,2,2,2,2,3,5,4,3,2,3,2,2,5,2,4,1,5,2,4,5,2,3,4,5,5,3,4,5,5,2,3,3,3
322,5,3,3,2,4,3,4,4,5,2,2,5,2,3,5,3,4,3,1,5,5,5,5,4,2,3,3,5,3,4,4,4,5,2,1,1
323,5,3,2,2,1,4,3,2,5,5,5,1,3,3,5,5,3,1,2,4,1,2,5,5,2,3,5,5,5,1,2,5,2,5,1,1
324,5,2,2,1,4,5,4,5,4,1,3,1,1,1,3,1,3,1,5,3,2,4,5,4,2,2,3,2,5,1,5,2,4,3,3,3
325,5,3,4,2,2,2,2,5,3,2,3,2,3,3,3,3,3,2,2,5,2,3,5,5,3,2,4,4,3,2,4,1,2,2,2,2
326,5,3,4,4,3,3,3,4,4,4,4,5,5,2,4,3,3,4,2,4,1,2,4,3,3,4,4,4,5,2,4,5,3,3,1,3
327,5,4,3,2,2,3,2,5,4,2,2,2,3,3,3,3,3,3,1,5,5,4,5,5,4,5,3,3,4,2,2,4,4,4,4,1
328,5,3,3,2,1,4,4,5,3,1,1,5,4,3,4,2,3,1,2,5,3,4,5,3,3,3,4,5,5,1,5,3,3,1,2,1
329,5,5,3,3,4,2,1,2,5,4,5,2,4,3,2,5,3,1,1,5,4,5,5,5,4,5,3,3,3,3,3,1,5,4,5,1
330,5,3,4,2,3,3,2,4,4,1,2,4,2,2,3,2,2,3,1,5,4,5,4,4,2,4,5,4,3,1,2,3,2,2,2,1
331,5,3,4,2,1,4,3,3,5,3,3,3,2,3,3,4,,3,2,5,1,1,5,3,4,2,4,4,4,1,3,4,3,2,1,2
332,5,5,3,2,3,3,3,2,5,2,2,5,1,5,5,1,2,4,1,5,2,1,5,3,3,5,2,2,2,5,2,2,3,2,3,5
333,4,3,3,2,3,3,5,3,2,1,1,2,3,1,1,1,5,1,1,5,3,1,5,5,1,2,5,5,3,2,3,3,3,2,4,4
